Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_75,0.2,0.00847774,0.00636715,0.0254861,0.0191189,0.07,-0.168019,0.0799802,0.0356626,61303,Y,1.44778699754623
ANGPT2.13660.76.3,ANM_75,5e-04,0.00088837,0.000728654,0.153842,0.153113,0.07,-0.0613094,0.0969003,0.526926,403,N,0.278250371596231
ANGPT2.13660.76.3,GERAD_75,0.001,0.000289717,0.000233568,0.0324387,0.0322051,0.07,0.0322386,0.0466949,0.489937,774,N,0.30985976142333
APCS.2474.54.5,ADNI_75,5e-08,0.00666926,0.00500641,0.0241253,0.0191189,0.07,-0.159305,0.0886004,0.0721752,3,N,1.1416120040004
APCS.2474.54.5,ANM_75,0.01,0.0172754,0.0142596,0.167373,0.153113,0.07,-0.278868,0.10108,0.00579987,5765,Y,2.23658174073282
APCS.2474.54.5,GERAD_75,0.05,0.000501701,0.000404484,0.0326096,0.0322051,0.07,0.0428471,0.0471632,0.363622,21064,N,0.439349848801111
APOB.2797.56.2,ADNI_75,5e-08,0.0709541,0.0542234,0.0733423,0.0191189,0.07,0.520548,0.088264,3.68768e-09,2,Y,8.43324677207172
APOB.2797.56.2,ANM_75,5e-08,0.077484,0.0654867,0.2186,0.153113,0.07,0.644806,0.115912,2.65349e-08,2,Y,7.57618254472312
APOB.2797.56.2,GERAD_75,5e-08,0.0620872,0.0505945,0.0827997,0.0322051,0.07,0.477946,0.0479977,2.33462e-23,2,Y,22.6317837983241
APOE.2937.10.2,ADNI_75,5e-08,0.00927206,0.00696524,0.0260842,0.0191189,0.07,0.173642,0.0786396,0.0272395,4,Y,1.56480086846387
APOE.2937.10.2,ANM_75,0.001,0.0260598,0.021584,0.174697,0.153113,0.07,0.345203,0.102059,0.000718568,784,Y,3.1435321271437
APOE.2937.10.2,GERAD_75,5e-08,0.0206936,0.0167421,0.0489472,0.0322051,0.07,0.263835,0.0448882,4.16261e-09,3,Y,8.38063427678609
C3.2755.8.2,ADNI_75,5e-05,0.00238964,0.00179171,0.0209106,0.0191189,0.07,0.0890375,0.0797286,0.264098,52,N,0.578234887669459
C3.2755.8.2,ANM_75,5e-04,0.0103328,0.00850612,0.161619,0.153113,0.07,0.213806,0.0997402,0.032063,397,Y,1.49399584497342
C3.2755.8.2,GERAD_75,5e-05,0.00145638,0.00117437,0.0333795,0.0322051,0.07,0.0723338,0.0467604,0.121887,52,N,0.914042612095607
C4A.C4B.4481.34.2,ADNI_75,0.001,0.00451163,0.00338473,0.0225037,0.0191189,0.07,-0.123532,0.0806978,0.125819,806,N,0.90025377087735
C4A.C4B.4481.34.2,ANM_75,5e-08,0.000683722,0.000560755,0.153674,0.153113,0.07,0.054338,0.0979146,0.578927,39,N,0.237376195332886
C4A.C4B.4481.34.2,GERAD_75,5e-05,0.000397284,0.000320294,0.0325254,0.0322051,0.07,-0.0380563,0.0471592,0.419681,86,N,0.377080691932037
CCL26.9168.31.3,ADNI_75,0.05,0.000702574,0.000526535,0.0196455,0.0191189,0.07,-0.0482673,0.0796494,0.544517,21457,N,0.263988556879848
CCL26.9168.31.3,ANM_75,5e-08,0.00315916,0.00259346,0.155707,0.153113,0.07,-0.116307,0.0975283,0.233049,1,N,0.632552756260311
CCL26.9168.31.3,GERAD_75,1,0.00146084,0.00117796,0.0333831,0.0322051,0.07,-0.0734863,0.0474313,0.121305,145683,N,0.916121297833703
CFH.4159.130.1,ADNI_75,5e-08,0.012842,0.00965649,0.0287754,0.0191189,0.07,-0.210539,0.0816815,0.00995018,6,Y,2.00216906274175
CFH.4159.130.1,ANM_75,0.01,0.00533725,0.00438521,0.157498,0.153113,0.07,-0.152836,0.0986411,0.121281,6015,N,0.916207230802626
CFH.4159.130.1,GERAD_75,0.01,0.00145103,0.00117005,0.0333752,0.0322051,0.07,-0.0726993,0.0470576,0.12237,5977,N,0.912325039963243
CLU.4542.24.2,ADNI_75,5e-05,0.0028142,0.00211029,0.0212292,0.0191189,0.07,-0.0970907,0.0801585,0.225806,50,N,0.646264522409848
CLU.4542.24.2,ANM_75,5e-05,0.00561564,0.00461444,0.157728,0.153113,0.07,0.156912,0.0988036,0.112259,50,N,0.949778830782089
CLU.4542.24.2,GERAD_75,0.05,0.000782706,0.000631068,0.0328362,0.0322051,0.07,0.0530396,0.0467328,0.256394,20965,N,0.591092142169525
CRP.4337.49.2,ADNI_75,5e-08,0.0377075,0.02855,0.0476689,0.0191189,0.07,-0.365705,0.0835099,1.19125e-05,5,Y,4.92399708635362
CRP.4337.49.2,ANM_75,5e-08,0.0127111,0.0104736,0.163587,0.153113,0.07,-0.237287,0.0997029,0.0173156,5,Y,1.76156245518732
CRP.4337.49.2,GERAD_75,5e-08,0.0110124,0.00889466,0.0410998,0.0322051,0.07,-0.201387,0.0475236,2.25913e-05,5,Y,4.64605877719907
CSF3.8952.65.3,ADNI_75,5e-05,0.00282918,0.00212153,0.0212405,0.0191189,0.07,0.100155,0.0823611,0.223966,44,N,0.649817906367324
CSF3.8952.65.3,ANM_75,5e-04,0.0142775,0.0117714,0.164885,0.153113,0.07,-0.253138,0.100334,0.0116377,438,Y,1.93413284236721
CSF3.8952.65.3,GERAD_75,5e-04,0.00123903,0.000999065,0.0332042,0.0322051,0.07,0.0670169,0.046939,0.153365,435,N,0.814273741046713
CXCL8.3447.64.2,ADNI_75,1,0.00421696,0.0031634,0.0222823,0.0191189,0.07,0.13055,0.0880245,0.138045,147326,N,0.85997931891776
CXCL8.3447.64.2,ANM_75,0.01,0.00157765,0.00129436,0.154408,0.153113,0.07,0.0836248,0.0992037,0.399251,5646,N,0.398753987415057
CXCL8.3447.64.2,GERAD_75,5e-05,0.00241801,0.00195011,0.0341552,0.0322051,0.07,-0.0932419,0.0467824,0.0462506,35,Y,1.33488262887092
FGA.FGB.FGG.4907.56.1,ADNI_75,5e-05,0.00788347,0.00591986,0.0250388,0.0191189,0.07,0.162447,0.0802477,0.0429372,52,Y,1.3671662799789
FGA.FGB.FGG.4907.56.1,ANM_75,1,0.00351289,0.00288424,0.155997,0.153113,0.07,-0.125036,0.0995781,0.209241,149120,N,0.679353213068975
FGA.FGB.FGG.4907.56.1,GERAD_75,0.001,0.000570621,0.000460055,0.0326652,0.0322051,0.07,0.0454821,0.0469439,0.332614,764,N,0.478059474915699
GC.6581.50.3,ADNI_75,0.5,0.00752742,0.00565194,0.0247709,0.0191189,0.07,0.186348,0.094205,0.0479165,109561,Y,1.31951491195012
GC.6581.50.3,ANM_75,0.05,0.0102603,0.00844614,0.161559,0.153113,0.07,0.220024,0.102727,0.0322065,21016,Y,1.49205646901071
GC.6581.50.3,GERAD_75,5e-04,0.00210893,0.00170074,0.0339059,0.0322051,0.07,0.0876587,0.047088,0.0626602,373,N,1.20300822326284
HP.3054.3.2,ADNI_75,5e-05,0.00154514,0.00115825,0.0202772,0.0191189,0.07,0.071507,0.0796402,0.369252,120,N,0.432677143716456
HP.3054.3.2,ANM_75,5e-05,0.00666353,0.00547772,0.158591,0.153113,0.07,-0.172064,0.0995726,0.083984,124,N,1.07580344457593
HP.3054.3.2,GERAD_75,5e-08,0.00370807,0.0029912,0.0351963,0.0322051,0.07,0.116201,0.0471804,0.0137812,48,Y,1.86071296452652
IGFBP2.2570.72.5,ADNI_75,5e-04,0.0081114,0.00609139,0.0252103,0.0191189,0.07,0.16614,0.0809006,0.040011,428,Y,1.39782059410826
IGFBP2.2570.72.5,ANM_75,5e-05,0.00288587,0.00236885,0.155482,0.153113,0.07,-0.110796,0.097188,0.254278,65,N,0.594691213131071
IGFBP2.2570.72.5,GERAD_75,1,0.0019053,0.00153647,0.0337416,0.0322051,0.07,-0.0838263,0.0473502,0.0766692,145690,N,1.11537906833889
IL10.2773.50.2,ADNI_75,0.001,0.00755987,0.00567635,0.0247953,0.0191189,0.07,0.160749,0.081125,0.0475349,789,Y,1.32298741538595
IL10.2773.50.2,ANM_75,0.01,0.00442116,0.00363125,0.156744,0.153113,0.07,-0.147644,0.104968,0.159556,5734,N,0.797086859800795
IL10.2773.50.2,GERAD_75,0.001,0.00131584,0.00106101,0.0332661,0.0322051,0.07,0.0689658,0.0468809,0.141268,787,N,0.849956203312962
IL13.3072.4.2,ADNI_75,0.001,0.00991645,0.00745063,0.0265696,0.0191189,0.07,0.188519,0.0829517,0.0230479,781,Y,1.63736863903615
IL13.3072.4.2,ANM_75,5e-05,0.00390998,0.00321076,0.156324,0.153113,0.07,0.129728,0.0978108,0.184735,54,N,0.733450815080353
IL13.3072.4.2,GERAD_75,0.05,0.00129482,0.00104406,0.0332492,0.0322051,0.07,0.0693693,0.0475471,0.144576,21109,N,0.83990379509575
IL3.4717.55.2,ADNI_75,0.001,0.00332472,0.00249347,0.0216124,0.0191189,0.07,-0.106766,0.0810885,0.187954,805,N,0.725948427282213
IL3.4717.55.2,ANM_75,0.001,0.00556354,0.00457154,0.157685,0.153113,0.07,-0.159185,0.100561,0.11343,807,N,0.945272067917802
IL3.4717.55.2,GERAD_75,5e-05,0.000474623,0.000382651,0.0325878,0.0322051,0.07,-0.0410359,0.0464331,0.376824,46,N,0.423861444691169
KITLG.9377.25.3,ADNI_75,0.01,0.00186335,0.00139691,0.0205158,0.0191189,0.07,0.0789581,0.0800298,0.323834,5817,N,0.489677555714824
KITLG.9377.25.3,ANM_75,0.1,0.0103623,0.00853048,0.161644,0.153113,0.07,-0.212101,0.098401,0.0311245,36844,Y,1.50689761657043
KITLG.9377.25.3,GERAD_75,0.001,0.000830271,0.000669423,0.0328745,0.0322051,0.07,-0.0548547,0.046933,0.242489,763,N,0.615307957464414
MMP9.2579.17.5,ADNI_75,1,0.00914383,0.00686867,0.0259876,0.0191189,0.07,0.179203,0.0821402,0.0291333,147174,Y,1.53561031898999
MMP9.2579.17.5,ANM_75,5e-05,0.00536444,0.0044076,0.157521,0.153113,0.07,0.149437,0.0962621,0.120567,61,N,0.918771545256131
MMP9.2579.17.5,GERAD_75,5e-04,0.00202747,0.00163503,0.0338402,0.0322051,0.07,-0.085196,0.0466769,0.0679667,426,N,1.16770381594771
NPPB.3723.1.2,ADNI_75,0.001,0.00574783,0.00431362,0.0234325,0.0191189,0.07,0.138635,0.0800816,0.0834209,781,N,1.07872512900799
NPPB.3723.1.2,ANM_75,0.001,0.00226905,0.0018621,0.154975,0.153113,0.07,-0.0978144,0.096823,0.312381,777,N,0.505315389154837
NPPB.3723.1.2,GERAD_75,0.001,0.00468181,0.00377732,0.0359824,0.0322051,0.07,0.130203,0.047,0.00560091,779,Y,2.25174140587391
PLG.3710.49.2,ADNI_75,0.1,0.00276787,0.00207552,0.0211944,0.0191189,0.07,-0.0959684,0.0798448,0.229388,36775,N,0.63942930513613
PLG.3710.49.2,ANM_75,5e-08,0.0154534,0.0127467,0.16586,0.153113,0.07,0.25923,0.0990624,0.00887486,8,Y,2.05183848916944
PLG.3710.49.2,GERAD_75,5e-05,0.00121798,0.000982088,0.0331872,0.0322051,0.07,-0.0661934,0.0468232,0.157454,52,N,0.802846301963852
PPY.4588.1.2,ADNI_75,5e-08,0.0132171,0.0099396,0.0290585,0.0191189,0.07,-0.213201,0.0816637,0.00903536,1,Y,2.04405453896373
PPY.4588.1.2,ANM_75,0.05,0.00441728,0.00362806,0.156741,0.153113,0.07,-0.138991,0.0987609,0.159325,21184,N,0.797716072848097
PPY.4588.1.2,GERAD_75,0.01,0.0020954,0.00168982,0.0338949,0.0322051,0.07,0.0868007,0.046786,0.0635576,5693,N,1.19683251055899
RETN.3046.31.1,ADNI_75,0.001,0.00874775,0.00657043,0.0256894,0.0191189,0.07,0.173166,0.0813269,0.0332332,768,Y,1.47842783881664
RETN.3046.31.1,ANM_75,5e-04,0.0128903,0.0106219,0.163735,0.153113,0.07,-0.237431,0.0992634,0.0167598,415,Y,1.77573116824838
RETN.3046.31.1,GERAD_75,5e-05,0.00206241,0.00166321,0.0338683,0.0322051,0.07,0.086657,0.047097,0.0657731,58,N,1.18195168860803
SERPING1.4479.14.2,ADNI_75,0.01,0.00247774,0.00185782,0.0209767,0.0191189,0.07,-0.0913588,0.0803369,0.255456,5938,N,0.592683892409043
SERPING1.4479.14.2,ANM_75,5e-08,0.0098566,0.00811257,0.161226,0.153113,0.07,-0.207721,0.0990324,0.0359491,6,Y,1.44431197787989
SERPING1.4479.14.2,GERAD_75,5e-04,0.00273957,0.00220956,0.0344147,0.0322051,0.07,0.0993919,0.0468538,0.0338949,441,Y,1.46986564305008
TF.4162.54.2,ADNI_75,0.5,0.00250087,0.00187517,0.0209941,0.0191189,0.07,-0.0923716,0.0808337,0.253148,109765,N,0.596625499414391
TF.4162.54.2,ANM_75,5e-05,0.00329322,0.00270365,0.155817,0.153113,0.07,-0.118119,0.0971593,0.224089,58,N,0.64957946143259
TF.4162.54.2,GERAD_75,5e-04,0.000231727,0.000186815,0.0323919,0.0322051,0.07,-0.0288396,0.0467066,0.536929,388,N,0.270083138782435
TNC.4155.3.2,ADNI_75,5e-04,0.005356,0.00401912,0.023138,0.0191189,0.07,-0.134226,0.0802892,0.0945674,447,N,1.02425855112629
TNC.4155.3.2,ANM_75,0.05,0.00933171,0.007679,0.160792,0.153113,0.07,-0.202623,0.0995998,0.0419144,21326,Y,1.37763674633824
TNC.4155.3.2,GERAD_75,0.001,0.00149374,0.00120449,0.0334096,0.0322051,0.07,0.0736017,0.0469913,0.117282,813,N,0.93076863665283
TNF.5936.53.3,ADNI_75,5e-08,0.0113846,0.00855721,0.0276761,0.0191189,0.07,-0.203465,0.0856498,0.0175232,1,Y,1.75638658221814
TNF.5936.53.3,ANM_75,0.1,0.00700103,0.00575591,0.158869,0.153113,0.07,0.174182,0.0984788,0.076939,36781,N,1.11385346265234
TNF.5936.53.3,GERAD_75,0.5,0.00143833,0.0011598,0.0333649,0.0322051,0.07,-0.0728991,0.0474151,0.124179,108718,N,0.905951841802248
VCAM1.2967.8.1,ADNI_75,5e-08,0.00145312,0.00108925,0.0202082,0.0191189,0.07,0.069663,0.0799772,0.383735,5,N,0.415968587526612
VCAM1.2967.8.1,ANM_75,0.5,0.00881643,0.00725353,0.160367,0.153113,0.07,0.193322,0.0973349,0.0470168,110999,Y,1.32774693262568
VCAM1.2967.8.1,GERAD_75,0.001,0.00166791,0.00134498,0.0335501,0.0322051,0.07,-0.0774688,0.0467992,0.0978547,819,N,1.00941831016904
VTN.13125.45.3,ADNI_75,1,0.0115059,0.00864866,0.0277676,0.0191189,0.07,-0.197293,0.0808735,0.0147065,147215,Y,1.83249067272103
VTN.13125.45.3,ANM_75,5e-05,0.00572078,0.00470102,0.157814,0.153113,0.07,0.157464,0.0984093,0.109577,81,N,0.960280593856417
VTN.13125.45.3,GERAD_75,0.001,0.0026048,0.00210082,0.0343059,0.0322051,0.07,0.0968469,0.0468104,0.0385539,823,Y,1.41393168342861
